Image_ID,image_name,feature1,feature2,feature3,feature4,PPE
0,nglovpp210_jpg.rf.0f4b1e11408a589f90181b37642fd5c2.jpg,182,131,231,156,no_glove
1,packing1949_jpg.rf.0f5f02406cf08227aaf40842bf88eacf.jpg,343,164,367,190,goggles
2,PP02img1499_jpg.rf.0f72b69b3cd57cb091c665d1e7ff8745.jpg,74,243,106,299,glove
6,packing1437_jpg.rf.0f6241f5381277504f4856b6a4e9386b.jpg,308,92,338,116,no_goggles
8,PP02img932_jpg.rf.0f70d2b8b298c204ffbf024a84212261.jpg,75,146,102,189,no_glove
11,kp159_jpg.rf.0f58da6f10eb3d39c45cecc760850442.jpg,233,284,259,305,goggles
12,kp1209_jpg.rf.0f55f87deb29e7518bfc1587825f142f.jpg,121,289,151,312,goggles
13,packing1136_jpg.rf.0f7280d14c1235a354fb7c4276787cd3.jpg,306,103,334,126,no_goggles
14,kp876_jpg.rf.0f776bcfbc2f26cf73b66c96bb0623cc.jpg,235,316,265,342,goggles
15,packing771_jpg.rf.0f6d290665dc3972e5af2eb8411fce37.jpg,330,143,350,168,goggles
17,PP02img578_jpg.rf.0f772c6444f3ae610543ef03a1cc9847.jpg,60,121,92,150,no_glove
23,nglovpp2200_jpg.rf.0f704cf29ba0415cb2f1b0d3528f944d.jpg,206,93,258,139,no_glove
26,packing1813_jpg.rf.0f71262775fdea9df070467544e5356d.jpg,348,150,377,178,goggles
27,kp246_jpg.rf.0f7a6d0fba02170f2588f2edf0b0ddd6.jpg,173,315,198,339,goggles
28,nglovpp37_jpg.rf.0f80f43c252c24a951e0c73d775348c1.jpg,118,171,173,244,no_glove
29,nglovpp2176_jpg.rf.0f74143bbbd28011517618628147f2f2.jpg,312,187,363,249,no_glove
34,kp562_jpg.rf.0f95bcda3c8b06720f58de1bddca6505.jpg,0,273,21,295,no_goggles
36,kp319_jpg.rf.0f8e247da04a29f4ef69edb8fffd282c.jpg,166,303,192,328,goggles
37,kp1994_jpg.rf.0f9239bed2c431104733349b3ee79d40.jpg,161,304,193,332,no_goggles
38,PP02img956_jpg.rf.0f8466d846e2a04ceb8dbbf64fe8fbcf.jpg,111,129,131,178,no_glove
39,kp527_jpg.rf.0f9905882ce9236910e08257ae7758b7.jpg,221,315,252,340,goggles
41,img324_jpg.rf.0f8f0c6ecd2341f1fff88ceaf5112e51.jpg,316,143,364,203,glove
44,kp1257_jpg.rf.0f84bb0302cbf4cfb10f7093c8b2bbad.jpg,146,273,179,298,goggles
46,frame64--2-_jpg.rf.0f9ef3e59e802165e529702d772ff4f6.jpg,234,173,311,389,suit
47,PP02img1503_jpg.rf.0fa6deb57acefbad38446d1238a48728.jpg,247,217,305,277,glove
49,kp1203_jpg.rf.0fa8c0f1ecc87fa64fb9ebe7c6029f8e.jpg,138,281,172,304,goggles
50,PP02img1355_jpg.rf.0f9e1bbcbe2d54d00eb7e55e146c916f.jpg,317,172,363,215,glove
55,kp776_jpg.rf.0fabfabb4129117ef47871953ca5f621.jpg,164,315,197,344,goggles
56,kp871_jpg.rf.0f9ef8b10b767da695b85fb2de3653ec.jpg,144,320,169,345,goggles
57,kp1621_jpg.rf.0faef1be4205aac7c009f31af24ea5c8.jpg,160,297,190,322,no_goggles
